FarmID	FarmType	SoilType	FarmSize	FarmRealID
67	Plant	Other	business	430899
68	Plant	Other	business	438642
69	Plant	Other	business	451463
70	Plant	Other	business	463737
71	Plant	Other	business	465744
72	Plant	Other	business	471038
73	Plant	Other	private	479036
74	Plant	Other	business	494747
75	Plant	Other	private	496411
76	Plant	Other	private	503695
77	Plant	Other	business	510225
78	Plant	Other	business	511925
79	Plant	Other	business	557177
80	Plant	Other	private	569923
81	Plant	Clay	private	237039
82	Plant	Clay	business	252664
83	Plant	Clay	business	300614
84	Plant	Clay	business	365020
85	Plant	Clay	business	394210
86	Plant	Clay	business	413082
87	Plant	Clay	private	465337
88	Plant	Clay	private	477878
89	Plant	Clay	business	498400
90	Plant	Clay	business	551556
91	Plant	Sand	private	232040
92	Plant	Sand	private	232551
93	Plant	Sand	business	233385
94	Plant	Sand	business	233770
95	Plant	Sand	private	234281
96	Plant	Sand	private	239938
97	Plant	Sand	business	240012
98	Plant	Sand	business	246365
99	Plant	Sand	private	253543
100	Plant	Sand	business	254743
101	Plant	Sand	business	255169
102	Plant	Sand	private	258297
103	Plant	Sand	business	259373
104	Plant	Sand	business	266981
105	Plant	Sand	business	270209
106	Plant	Sand	private	271173
107	Plant	Sand	business	272769
108	Plant	Sand	private	274188
109	Plant	Sand	business	276870
110	Plant	Sand	business	279297
111	Plant	Sand	business	280475
112	Plant	Sand	business	281313
113	Plant	Sand	business	283002
114	Plant	Sand	business	283391
115	Plant	Sand	business	284325
116	Plant	Sand	private	284423
117	Plant	Sand	private	286797
118	Plant	Sand	business	293437
119	Plant	Sand	private	293742
120	Plant	Sand	private	298737
121	Plant	Sand	business	299396
122	Plant	Sand	business	302696
123	Plant	Sand	business	305770
124	Plant	Sand	private	306341
125	Plant	Sand	private	307435
126	Plant	Sand	private	309178
127	Plant	Sand	business	311622
128	Plant	Sand	private	313918
129	Plant	Sand	business	318876
130	Plant	Sand	business	321922
131	Plant	Sand	business	322565
132	Plant	Sand	business	332419
133	Plant	Sand	private	333406
134	Plant	Sand	private	337829
135	Plant	Sand	private	339214
136	Plant	Sand	business	339694
137	Plant	Sand	private	343930
138	Plant	Sand	business	344945
139	Plant	Sand	private	345893
140	Plant	Sand	business	347171
141	Plant	Sand	business	350100
142	Plant	Sand	private	351636
143	Plant	Sand	private	352990
144	Plant	Sand	private	354208
145	Plant	Sand	business	355326
146	Plant	Sand	business	357218
147	Plant	Sand	business	358668
148	Plant	Sand	business	359809
149	Plant	Sand	business	362327
150	Plant	Sand	private	362600
151	Plant	Sand	private	368886
152	Plant	Sand	business	370544
153	Plant	Sand	private	370625
154	Plant	Sand	business	370861
155	Plant	Sand	private	372193
156	Plant	Sand	private	378037
157	Plant	Sand	business	378617
158	Plant	Sand	business	380033
159	Plant	Sand	business	380517
160	Plant	Sand	private	382512
161	Plant	Sand	business	382935
162	Plant	Sand	private	387290
163	Plant	Sand	private	388550
164	Plant	Sand	business	390565
165	Plant	Sand	business	394393
166	Plant	Sand	business	399583
167	Plant	Sand	business	407181
168	Plant	Sand	business	411467
169	Plant	Sand	private	415217
170	Plant	Sand	business	415771
171	Plant	Sand	private	421061
172	Plant	Sand	private	421565
173	Plant	Sand	business	424112
174	Plant	Sand	business	424344
175	Plant	Sand	business	424969
176	Plant	Sand	private	426140
177	Plant	Sand	private	427282
178	Plant	Sand	business	429525
179	Plant	Sand	business	431267
180	Plant	Sand	business	435835
181	Plant	Sand	private	436293
182	Plant	Sand	business	441196
183	Plant	Sand	business	441366
184	Plant	Sand	private	441416
185	Plant	Sand	business	442245
186	Plant	Sand	business	444415
187	Plant	Sand	business	444449
188	Plant	Sand	business	444599
189	Plant	Sand	business	447745
190	Plant	Sand	business	448095
191	Plant	Sand	private	450516
192	Plant	Sand	business	451093
193	Plant	Sand	business	451246
194	Plant	Sand	private	451271
195	Plant	Sand	business	451607
196	Plant	Sand	private	452430
197	Plant	Sand	private	455358
198	Plant	Sand	private	458268
199	Plant	Sand	business	460899
200	Plant	Sand	business	461387
201	Plant	Sand	private	463686
202	Plant	Sand	business	468838
203	Plant	Sand	private	469085
204	Plant	Sand	business	469468
205	Plant	Sand	business	470402
206	Plant	Sand	business	476954
207	Plant	Sand	private	478336
208	Plant	Sand	business	479595
209	Plant	Sand	private	479738
210	Plant	Sand	business	481129
211	Plant	Sand	business	483070
212	Plant	Sand	business	486900
213	Plant	Sand	business	488464
214	Plant	Sand	business	489006
215	Plant	Sand	business	489470
216	Plant	Sand	private	489607
217	Plant	Sand	business	491539
218	Plant	Sand	private	494420
219	Plant	Sand	private	496542
220	Plant	Sand	business	497315
221	Plant	Sand	business	497557
222	Plant	Sand	business	500534
223	Plant	Sand	private	501634
224	Plant	Sand	private	502133
225	Plant	Sand	business	511936
226	Plant	Sand	private	512014
227	Plant	Sand	private	515603
228	Plant	Sand	business	517878
229	Plant	Sand	business	519077
230	Plant	Sand	private	521510
231	Plant	Sand	business	524568
232	Plant	Sand	business	534605
233	Plant	Sand	business	540455
234	Plant	Sand	private	544135
235	Plant	Sand	private	544250
236	Plant	Sand	business	549209
237	Plant	Sand	private	553083
238	Plant	Sand	business	560602
239	Plant	Sand	private	709272
240	Plant	Sand	private	734238
241	Plant	Sand	private	747011
242	Plant	Sand	business	783110
243	Plant	Sand	business	884839
244	Plant	Sand	business	918467
245	Plant	Sand	private	933530
246	Plant	Sand	private	933974
247	Plant	Sand	private	1168785
248	Plant	Sand	private	1172794
249	Plant	Sand	business	1176662
250	Plant	Sand	private	1181581
251	Plant	Sand	business	1189760
252	Plant	Sand	business	1190777
253	Plant	Sand	business	1255252
254	Plant	Sand	private	1256662
255	Pig	Other	business	231241
256	Pig	Other	business	266196
257	Pig	Other	business	317415
258	Pig	Other	private	366029
259	Pig	Other	business	421785
260	Pig	Other	business	463228
261	Pig	Other	business	491609
262	Pig	Other	business	494930
263	Pig	Other	business	540400
264	Pig	Clay	business	378952
265	Pig	Clay	private	390651
266	Pig	Clay	business	465151
267	Pig	Clay	business	533877
268	Pig	Sand	private	236170
269	Pig	Sand	business	239545
270	Pig	Sand	business	264532
271	Pig	Sand	business	273952
272	Pig	Sand	business	293350
273	Pig	Sand	business	305025
274	Pig	Sand	business	313424
275	Pig	Sand	business	317498
276	Pig	Sand	business	318195
277	Pig	Sand	business	319314
278	Pig	Sand	business	337664
279	Pig	Sand	business	353363
280	Pig	Sand	business	363383
281	Pig	Sand	business	368941
282	Pig	Sand	business	373635
283	Pig	Sand	business	377098
284	Pig	Sand	business	395568
285	Pig	Sand	business	425225
286	Pig	Sand	business	438241
287	Pig	Sand	business	467744
288	Pig	Sand	private	476837
289	Pig	Sand	business	493438
290	Pig	Sand	business	508039
291	Pig	Sand	business	526840
292	Pig	Sand	business	536213
293	Pig	Sand	business	548352
294	Pig	Sand	business	558350
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
