Identifier	FarmType	SoilType	Fixed	Fodder	FUKey	rotationMax	rotationMin	Nnorm	sellingPrice	subsidy	priceLM	priceHerb	priceFi	priceG	priceH	priceW	alfa	beta1	beta2	alfaHerb	betaHerb 	alfaFi	betaFi	alfaG	betaG	alfaH	betaH	alfaW	betaW
PotatoFood	Cattle	Other	YES	NO	0	0	0	155	0	2240	14570	286	193	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
SugarBeet	Cattle	Other	YES	NO	0	0	0	131	0	2240	8037	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
GrassClover	Cattle	Other	NO	YES	89.286	52.34	0	371	0	2240	2646	300	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
OLSeedCut	Cattle	Other	NO	YES	86.957	0	0	0	0	2240	3223	717	80	30	0	0	58.939	0.1586	-0.0002	5.9	12	3.1496	4	1.4778	3	0	0	0	0
SCerealSil	Cattle	Other	NO	YES	76.923	0	0	132	0	2240	4612	232	246	30	0	0	37.4708	0.4569	-0.0012	7.767	8	8.0645	5	2.9126	3	0	0	0	0
PeasSil	Cattle	Other	NO	YES	86.957	0	0	0	0	2240	4612	235	170	30	0	0	37.4708	0.4569	-0.0012	5.9	12	3.1496	4	1.4778	3	0	0	0	0
MaizeSil	Cattle	Other	NO	YES	85.47	20.32	0	181	0	2240	5649	445	80	30	170	150	137.0854	0.2626	-0.0008	8.1761	13	150	3	2.5157	4	1.8868	3	3.1447	5
WCerealSil	Cattle	Other	NO	YES	76.923	0	0	181	0	2240	4612	232	246	30	0	0	37.4708	0.4569	-0.0012	9.6296	13	8.0645	5	2.9126	3	0	0	0	0
SCerealG	Cattle	Other	NO	YES	76.923	0	0	107	0	2240	3018	165	239	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
PerGrassLow	Cattle	Other	NO	YES	83.333	0	0	69	0	500	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
PerGrassNorm	Cattle	Other	NO	YES	83.333	23.01	1.02	133	0	500	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv1	Cattle	Other	NO	YES	83.333	0	0	80	0	1920	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv2	Cattle	Other	NO	YES	83.333	0	0	0	0	1880	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassRot	Cattle	Other	NO	YES	89.286	1.47	0	344	0	2240	2764	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
Setaside	Cattle	Other	YES	NO	0	9.92	7.01	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncult	Cattle	Other	YES	NO	0	0	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OUncult	Cattle	Other	YES	NO	0	0	0	0	0	2240	534	100	100	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FodderBeet	Cattle	Other	NO	YES	43.478	0	0	184	0	2240	10191	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
CloverGrz	Cattle	Other	YES	YES	89.286	0	0	371	0	2240	2646	717	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
Veg	Cattle	Other	YES	NO	0	0	0	265	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Fruit	Cattle	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
FruitTree	Cattle	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
OSpecCrops	Cattle	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
ChrisTree	Cattle	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
EnergyFor	Cattle	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Other	Cattle	Other	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
SBarley	Cattle	Clay	NO	YES	102	30	0	122	0	2240	3018	165	239	30	0	0	32.6273	0.3097	-0.001	7.767	8	25.806	16	2.472	2.5	0	0	0	0
Oats	Cattle	Clay	NO	YES	87	0	0	93	0	2240	3018	165	200	30	0	0	37.4923	0.2897	-0.0011	8.7379	9	8.7379	8	1.8519	2.5	0	0	0	0
OSCrops	Cattle	Clay	YES	NO	0	33.36	0	96	83	2240	3018	445	80	30	0	0	32.6273	0.3097	-0.001	7.767	8	25.806	16	2.472	2.5	0	0	0	0
WBarley	Cattle	Clay	NO	YES	103	0	0	151	0	2240	3123	300	430	30	0	0	29.9649	0.318	-0.0008	9.6296	13	10.989	10	2.2222	3	0	0	0	0
WWheat	Cattle	Clay	NO	NO	0	10.28	0	165	94	2240	3276	300	358	30	0	0	41.6451	0.314	-0.0007	12.593	17	23.077	21	2.5926	3.5	0	0	0	0
WRye	Cattle	Clay	NO	NO	0	0	0	121	72	2240	2869	300	352	30	0	0	23.9105	0.3517	-0.0012	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
Triticale	Cattle	Clay	NO	YES	113	0	0	132	0	2240	2869	300	352	30	0	0	17.9608	0.2425	-0.0005	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
SRape	Cattle	Clay	NO	NO	0	0	0	101	163	2240	2950	406	96	0	170	0	20.7141	0.0375	-0.0001	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
WRape	Cattle	Clay	NO	NO	0	0	0	171	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	0	0	14.516	9	0	0	3.1579	3	0	0
OOilseed	Cattle	Clay	NO	NO	0	0	0	101	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
Peas	Cattle	Clay	YES	NO	0	0	0	0	97	2240	3223	235	83	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
OLSeed	Cattle	Clay	YES	NO	0	0	0	0	97	2240	3223	100	100	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
GrassSeed	Cattle	Clay	NO	NO	0	0	0	124	934.67	2240	2924	460	400	0	0	0	683.35	7.3975	-0.0256	40	50	17.647	3	0	0	0	0	0	0
Potato	Cattle	Clay	YES	NO	0	0	0	163	27	2240	11213	286	198	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
PotatoFood	Cattle	Clay	YES	NO	0	0	0	134	104	2240	14570	286	193	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
SugarBeet	Cattle	Clay	YES	NO	0	0	0	110	31	2240	8037	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
GrassClover	Cattle	Clay	NO	YES	89.286	30.99	0	345	0	2240	2646	300	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
OLSeedCut	Cattle	Clay	NO	YES	86.957	0	0	0	0	2240	3223	717	80	30	0	0	58.939	0.1586	-0.0002	5.9	12	3.1496	4	1.4778	3	0	0	0	0
SCerealSil	Cattle	Clay	NO	YES	76.923	5.93	0	117	0	2240	4612	232	246	30	0	0	45.9	0.5533	-0.0013	7.767	8	8.0645	5	2.9126	3	0	0	0	0
PeasSil	Cattle	Clay	NO	YES	86.957	0	0	0	0	2240	4612	235	170	30	0	0	45.9	0.5533	-0.0013	5.9	12	3.1496	4	1.4778	3	0	0	0	0
MaizeSil	Cattle	Clay	NO	YES	85.47	0	0	158	0	2240	5649	445	80	30	170	150	137.0854	0.2626	-0.0008	8.1761	13	150	3	2.5157	4	1.8868	3	3.1447	5
WCerealSil	Cattle	Clay	NO	YES	76.923	0	0	176	0	2240	4612	232	246	30	0	0	45.9	0.5533	-0.0013	9.6296	13	8.0645	5	2.9126	3	0	0	0	0
SCerealG	Cattle	Clay	NO	YES	76.923	0	0	92	0	2240	3018	165	239	30	0	0	32.6273	0.3097	-0.001	7.767	8	25.806	16	2.472	2.5	0	0	0	0
PerGrassLow	Cattle	Clay	NO	YES	83.333	0	0	69	0	500	2606	300	80	0	0	0	33.25	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
PerGrassNorm	Cattle	Clay	NO	YES	83.333	0	0	133	0	500	2606	300	80	0	0	0	33.25	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv1	Cattle	Clay	NO	YES	83.333	0	0	80	0	1920	2606	300	80	0	0	0	33.25	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv2	Cattle	Clay	NO	YES	83.333	0	0	0	0	1880	2606	300	80	0	0	0	33.25	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassRot	Cattle	Clay	NO	YES	89.286	0	0	326	0	2240	2764	300	80	0	0	0	33.25	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
Setaside	Cattle	Clay	YES	NO	0	7.73	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncult	Cattle	Clay	YES	NO	0	0	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OUncult	Cattle	Clay	YES	NO	0	0	0	0	0	2240	534	100	100	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FodderBeet	Cattle	Clay	NO	YES	43.478	0	0	171	0	2240	10191	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
CloverGrz	Cattle	Clay	YES	YES	89.286	0	0	345	0	2240	2646	717	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
Veg	Cattle	Clay	YES	NO	0	0	0	240	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Fruit	Cattle	Clay	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
FruitTree	Cattle	Clay	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
OSpecCrops	Cattle	Clay	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
ChrisTree	Cattle	Clay	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
EnergyFor	Cattle	Clay	YES	NO	0	0.35	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Other	Cattle	Clay	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
SBarley	Cattle	Sand	NO	YES	102	41.01	0	135	0	2240	3018	165	239	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
Oats	Cattle	Sand	NO	YES	87	5.23	0	114	0	2240	3018	165	200	30	0	0	27.54	0.2998	-0.0012	8.7379	9	8.7379	8	1.8519	2.5	0	0	0	0
OSCrops	Cattle	Sand	YES	NO	0	0	0	109	83	2240	3018	445	80	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
WBarley	Cattle	Sand	NO	YES	103	18.16	0	157	0	2240	3123	300	430	30	0	0	21.4042	0.2785	-0.0007	9.6296	13	10.989	10	2.2222	3	0	0	0	0
WWheat	Cattle	Sand	NO	NO	0	53.36	0	171	94	2240	3276	300	358	30	0	0	37.5735	0.2676	-0.0006	12.593	17	23.077	21	2.5926	3.5	0	0	0	0
WRye	Cattle	Sand	NO	NO	0	0	0	129	72	2240	2869	300	352	30	0	0	23.9105	0.3517	-0.0012	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
Triticale	Cattle	Sand	NO	YES	113	18.07	0	145	0	2240	2869	300	352	30	0	0	17.9608	0.2425	-0.0005	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
SRape	Cattle	Sand	NO	NO	0	0	0	122	163	2240	2950	406	96	0	170	0	20.7141	0.0375	-0.0001	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
WRape	Cattle	Sand	NO	NO	0	5.48	0	164	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	0	0	14.516	9	0	0	3.1579	3	0	0
OOilseed	Cattle	Sand	NO	NO	0	2.94	0	123	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
Peas	Cattle	Sand	YES	NO	0	0	0	0	97	2240	3223	235	83	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
OLSeed	Cattle	Sand	YES	NO	0	0	0	0	97	2240	3223	100	100	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
GrassSeed	Cattle	Sand	NO	NO	0	0	0	124	0	2240	2924	460	400	0	0	0	683.35	7.3975	-0.0256	40	50	17.647	3	0	0	0	0	0	0
Potato	Cattle	Sand	YES	NO	0	0	0	184	0	2240	11213	286	198	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
PotatoFood	Cattle	Sand	YES	NO	0	0	0	155	0	2240	14570	286	193	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
SugarBeet	Cattle	Sand	YES	NO	0	8.62	0	131	0	2240	8037	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
GrassClover	Cattle	Sand	NO	YES	89.286	71.37	0	371	0	2240	2646	300	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
OLSeedCut	Cattle	Sand	NO	YES	86.957	0	0	0	0	2240	3223	717	80	30	0	0	58.939	0.1586	-0.0002	5.9	12	3.1496	4	1.4778	3	0	0	0	0
SCerealSil	Cattle	Sand	NO	YES	76.923	89.25	0	132	0	2240	4612	232	246	30	0	0	37.4708	0.4569	-0.0012	7.767	8	8.0645	5	2.9126	3	0	0	0	0
PeasSil	Cattle	Sand	NO	YES	86.957	6.92	0	0	0	2240	4612	235	170	30	0	0	37.4708	0.4569	-0.0012	5.9	12	3.1496	4	1.4778	3	0	0	0	0
MaizeSil	Cattle	Sand	NO	YES	85.47	26.74	0	181	0	2240	5649	445	80	30	170	150	137.0854	0.2626	-0.0008	8.1761	13	150	3	2.5157	4	1.8868	3	3.1447	5
WCerealSil	Cattle	Sand	NO	YES	76.923	31.38	0	181	0	2240	4612	232	246	30	0	0	37.4708	0.4569	-0.0012	9.6296	13	8.0645	5	2.9126	3	0	0	0	0
SCerealG	Cattle	Sand	NO	YES	76.923	7.37	0	107	0	2240	3018	165	239	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
PerGrassLow	Cattle	Sand	NO	YES	83.333	19.31	0	69	0	500	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
PerGrassNorm	Cattle	Sand	NO	YES	83.333	17.45	0	133	0	500	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv1	Cattle	Sand	NO	YES	83.333	3.3	0	80	0	1920	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv2	Cattle	Sand	NO	YES	83.333	4.44	0	0	0	1880	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassRot	Cattle	Sand	NO	YES	89.286	5.97	0	344	0	2240	2764	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
Setaside	Cattle	Sand	YES	NO	0	9.59	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncult	Cattle	Sand	YES	NO	0	0.5	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OUncult	Cattle	Sand	YES	NO	0	0	0	0	0	2240	534	100	100	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FodderBeet	Cattle	Sand	NO	YES	43.478	0	0	184	0	2240	10191	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
CloverGrz	Cattle	Sand	YES	YES	89.286	0	0	371	0	2240	2646	717	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
Veg	Cattle	Sand	YES	NO	0	3.79	0	265	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Fruit	Cattle	Sand	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
FruitTree	Cattle	Sand	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
OSpecCrops	Cattle	Sand	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
ChrisTree	Cattle	Sand	YES	NO	0	27.07	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
EnergyFor	Cattle	Sand	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Other	Cattle	Sand	YES	NO	0	0.93	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
SBarley	Plant	Other	NO	NO	0	23.95	0	135	83	2240	3018	165	239	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
Oats	Plant	Other	NO	NO	0	8.51	0	114	75	2240	3018	165	200	30	0	0	27.54	0.2998	-0.0012	8.7379	9	8.7379	8	1.8519	2.5	0	0	0	0
OSCrops	Plant	Other	YES	NO	0	3.06	0	109	83	2240	3018	445	80	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
